PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Chris Godwin	WR	TB	@CHI	125	46.00	3.00	21.50	2.59	4500	10.8	2.4
Trey Burton	TE	CHI	TB	-145	46.00	-3.00	24.50	4.33	3900	10.7	2.7
Danny Amendola	WR	MIA	@NE	230	49.50	6.50	21.50	6.22	4100	10.6	2.6
Tyrell Williams	WR	LAC	SF	-480	46.00	-10.00	28.00	6.31	3700	10.6	2.8
Mohamed Sanu	WR	ATL	CIN	-195	52.50	-3.50	28.00	6.67	3600	10.5	2.9
DeVante Parker	WR	MIA	@NE	230	49.50	6.50	21.50	7.06	3500	10.4	3.0
Robby Anderson	WR	NYJ	@JAX	280	39.50	7.50	16.00	2.57	3600	10.3	2.9
John Ross	WR	CIN	@ATL	165	52.50	3.50	24.50	6.03	3300	10.2	3.1
Pierre Garcon	WR	SF	@LAC	360	46.00	10.00	18.00	4.60	4600	10.1	2.2
Aaron Jones	RB	GB	BUF	-420	44.00	-9.50	26.75	5.31	4100	9.9	2.4
Jacksonville Jaguars	D	JAX	NYJ	280	39.50	7.50	16.00	0.00	4100	9.9	2.4
Kerryon Johnson	RB	DET	@DAL	125	44.00	2.50	20.75	1.77	4400	9.9	2.2
Cole Beasley	WR	DAL	DET	-145	44.00	-2.50	23.25	2.53	3900	9.8	2.5
Tyler Eifert	TE	CIN	@ATL	165	52.50	3.50	24.50	4.44	3800	9.8	2.6
Isaiah Crowell	RB	NYJ	@JAX	280	39.50	7.50	16.00	2.14	3700	9.7	2.6
George Kittle	TE	SF	@LAC	360	46.00	10.00	18.00	4.45	4200	9.7	2.3
Ryan Grant	WR	IND	HOU	0	0.00	0.00	0.00	2.10	4200	9.7	2.3
O.J. Howard	TE	TB	@CHI	125	46.00	3.00	21.50	3.15	3500	9.6	2.7
Dion Lewis	RB	TEN	PHI	135	41.00	0.00	20.50	0.45	4400	9.5	2.2
T.J. Yeldon	RB	JAX	NYJ	-350	39.50	-7.50	23.50	2.05	4900	9.4	1.9
Jared Cook	TE	OAK	CLE	-135	44.00	-2.50	23.25	2.65	4100	9.3	2.3
Courtland Sutton	WR	DEN	KC	165	54.50	0.00	27.25	4.16	3400	9.1	2.7
Ben Watson	TE	NO	@NYG	-170	53.00	0.00	26.50	3.54	3300	9.1	2.8
Jalen Richard	RB	OAK	CLE	-135	44.00	-2.50	23.25	2.57	3400	9.1	2.7
Austin Hooper	TE	ATL	CIN	-195	52.50	-3.50	28.00	5.22	2900	9.0	3.1
Martavis Bryant	WR	OAK	CLE	-135	44.00	-2.50	23.25	2.13	3400	8.9	2.6
Tarik Cohen	RB	CHI	TB	-145	46.00	-3.00	24.50	3.03	4100	8.7	2.1
Dede Westbrook	WR	JAX	NYJ	-350	39.50	-7.50	23.50	1.65	4400	8.6	2.0
David Njoku	TE	CLE	@OAK	115	44.00	2.50	20.75	3.04	3200	8.6	2.7
Nyheim Hines	RB	IND	HOU	0	0.00	0.00	0.00	1.98	3800	8.5	2.2
Los Angeles Chargers	D	LAC	SF	360	46.00	10.00	18.00	0.00	3900	8.5	2.2
Willie Snead	WR	BAL	@PIT	135	51.00	3.00	24.00	2.83	3900	8.5	2.2
