PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Ricky Ortiz	RB	ATL	CIN	-195	52.50	-3.50	28.00	0.00	3000	0.0	0.0
Mason Schreck	TE	CIN	@ATL	165	52.50	3.50	24.50	0.00	2500	10.0	4.0
Orson Charles	TE	CLE	@OAK	115	44.00	2.50	20.75	0.00	2500	0.0	0.0
Kaelin Clay	WR	NYG	NO	145	53.00	0.00	26.50	0.00	3000	0.0	0.0
Alan Cross	TE	TB	@CHI	125	46.00	3.00	21.50	0.00	2500	10.0	4.0
Taiwan Jones	RB	BUF	@GB	320	44.00	9.50	17.25	0.00	3000	10.0	3.3
Brandon Bolden	RB	MIA	@NE	230	49.50	6.50	21.50	0.00	3000	0.0	0.0
Jonathan Stewart	RB	NYG	NO	145	53.00	0.00	26.50	0.00	3700	0.0	0.0
David Moore	WR	SEA	@ARI	-190	40.00	0.00	20.00	0.00	3000	10.0	3.3
Neal Sterling	TE	NYJ	@JAX	280	39.50	7.50	16.00	0.00	2500	12.4	4.9
Tyler Ott	TE	SEA	@ARI	-190	40.00	0.00	20.00	0.00	2500	0.0	0.0
David Fluellen	RB	TEN	PHI	135	41.00	0.00	20.50	0.00	3000	10.0	3.3
Delanie Walker	TE	TEN	PHI	135	41.00	0.00	20.50	0.00	2500	0.0	0.0
Mike Wallace	WR	PHI	@TEN	-160	41.00	0.00	20.50	0.00	3000	0.0	0.0
Joe Webb	QB	HOU	@IND	0	0.00	0.00	0.00	0.00	4000	10.0	2.5
Sean Culkin	TE	LAC	SF	-480	46.00	-10.00	28.00	0.00	2500	10.0	4.0
Beau Brinkley	TE	TEN	PHI	135	41.00	0.00	20.50	0.00	2500	0.0	0.0
Taysom Hill	QB	NO	@NYG	-170	53.00	0.00	26.50	0.00	4000	10.0	2.5
Darius Jennings	WR	TEN	PHI	135	41.00	0.00	20.50	0.00	3000	10.0	3.3
Matthew Slater	WR	NE	MIA	-280	49.50	-6.50	28.00	0.00	3000	10.0	3.3
Jaylen Samuels	RB	PIT	BAL	-160	51.00	-3.00	27.00	0.00	3000	0.0	0.0
James Winchester	TE	KC	@DEN	-195	54.50	0.00	27.25	0.00	2500	0.0	0.0
Tre Madden	RB	SEA	@ARI	-190	40.00	0.00	20.00	0.00	3000	10.0	3.3
Brandon Wilds	RB	JAX	NYJ	-350	39.50	-7.50	23.50	0.00	3000	0.0	0.0
MyCole Pruitt	TE	TEN	PHI	135	41.00	0.00	20.50	0.00	2500	10.0	4.0
Tyrod Taylor	QB	CLE	@OAK	115	44.00	2.50	20.75	0.00	4900	10.0	2.0
Gabe Holmes	TE	ARI	SEA	160	40.00	0.00	20.00	0.00	2500	10.0	4.0
Buddy Howell	RB	HOU	@IND	0	0.00	0.00	0.00	0.00	3000	0.0	0.0
Durham Smythe	TE	MIA	@NE	230	49.50	6.50	21.50	0.00	2500	0.0	0.0
Charone Peake	WR	NYJ	@JAX	280	39.50	7.50	16.00	0.00	3000	10.0	3.3
Patrick DiMarco	RB	BUF	@GB	320	44.00	9.50	17.25	0.00	3000	10.0	3.3
Patrick Ricard	RB	BAL	@PIT	135	51.00	3.00	24.00	0.00	3000	0.0	0.0
Jack Doyle	TE	IND	HOU	0	0.00	0.00	0.00	0.00	3700	10.0	2.7
Tim White	WR	BAL	@PIT	135	51.00	3.00	24.00	0.00	3000	0.0	0.0
Marcus Johnson	WR	IND	HOU	0	0.00	0.00	0.00	0.00	3000	10.0	3.3
Clark Harris	TE	CIN	@ATL	165	52.50	3.50	24.50	0.00	2500	0.0	0.0
Nathan Peterman	QB	BUF	@GB	320	44.00	9.50	17.25	0.00	4000	10.0	2.5
C.J. Prosise	RB	SEA	@ARI	-190	40.00	0.00	20.00	0.00	3000	10.0	3.3
Jaydon Mickens	WR	JAX	NYJ	-350	39.50	-7.50	23.50	0.00	3000	10.0	3.3
Zach Line	RB	NO	@NYG	-170	53.00	0.00	26.50	0.00	3000	10.0	3.3
Geno Smith	QB	LAC	SF	-480	46.00	-10.00	28.00	0.00	4300	10.0	2.3
Josh Malone	WR	CIN	@ATL	165	52.50	3.50	24.50	0.00	3000	10.8	3.6
Kyle Nelson	TE	SF	@LAC	360	46.00	10.00	18.00	0.00	2500	0.0	0.0
Keenan Reynolds	WR	SEA	@ARI	-190	40.00	0.00	20.00	0.00	3000	10.0	3.3
Dwayne Allen	TE	NE	MIA	-280	49.50	-6.50	28.00	0.00	2500	10.0	4.0
Cody Latimer	WR	NYG	NO	145	53.00	0.00	26.50	0.00	3300	0.0	0.0
Darius Jackson	RB	GB	BUF	-420	44.00	-9.50	26.75	0.00	3000	0.0	0.0
Eric Saubert	TE	ATL	CIN	-195	52.50	-3.50	28.00	0.00	2500	10.8	4.3
Vyncint Smith	WR	HOU	@IND	0	0.00	0.00	0.00	0.00	3000	0.0	0.0
Xavier Grimble	TE	PIT	BAL	-160	51.00	-3.00	27.00	0.00	2500	10.0	4.0
James Develin	RB	NE	MIA	-280	49.50	-6.50	28.00	0.00	3000	10.0	3.3
Khari Lee	TE	BUF	@GB	320	44.00	9.50	17.25	0.00	2500	10.0	4.0
Darren Sproles	RB	PHI	@TEN	-160	41.00	0.00	20.50	0.00	4400	10.0	2.3
Cody Core	WR	CIN	@ATL	165	52.50	3.50	24.50	0.00	3000	0.0	0.0
Keith Smith	RB	OAK	CLE	-135	44.00	-2.50	23.25	0.00	3000	10.0	3.3
Robert Tonyan	TE	GB	BUF	-420	44.00	-9.50	26.75	0.00	2500	0.0	0.0
Blaine Gabbert	QB	TEN	PHI	135	41.00	0.00	20.50	0.00	4500	10.0	2.2
Rex Burkhead	RB	NE	MIA	-280	49.50	-6.50	28.00	0.00	4200	0.0	0.0
Michael Burton	RB	CHI	TB	-145	46.00	-3.00	24.50	0.00	3000	10.0	3.3
Scott Simonson	TE	NYG	NO	145	53.00	0.00	26.50	0.00	2500	10.0	4.0
Sam Bradford	QB	ARI	SEA	160	40.00	0.00	20.00	0.00	4700	10.0	2.1
Kenneth Dixon	RB	BAL	@PIT	135	51.00	3.00	24.00	0.00	3000	0.0	0.0
