Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Stewart (11265900),Jonathan Stewart,11265900,CPT,1800,NYG@DAL 09/16/2018 08:20PM ET,NYG,0.8
RB,Wayne Gallman Jr. (11265901),Wayne Gallman Jr.,11265901,CPT,1800,NYG@DAL 09/16/2018 08:20PM ET,NYG,2.8
WR,Cody Latimer (11265864),Cody Latimer,11265864,FLEX,1600,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
RB,Rod Smith (11265865),Rod Smith,11265865,FLEX,1400,NYG@DAL 09/16/2018 08:20PM ET,DAL,0.5
RB,Jonathan Stewart (11265866),Jonathan Stewart,11265866,FLEX,1200,NYG@DAL 09/16/2018 08:20PM ET,NYG,0.8
RB,Wayne Gallman Jr. (11265867),Wayne Gallman Jr.,11265867,FLEX,1200,NYG@DAL 09/16/2018 08:20PM ET,NYG,2.8
TE,Blake Jarwin (11265902),Blake Jarwin,11265902,CPT,1200,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Rhett Ellison (11265903),Rhett Ellison,11265903,CPT,900,NYG@DAL 09/16/2018 08:20PM ET,NYG,2.6
TE,Blake Jarwin (11265868),Blake Jarwin,11265868,FLEX,800,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Rhett Ellison (11265869),Rhett Ellison,11265869,FLEX,600,NYG@DAL 09/16/2018 08:20PM ET,NYG,2.6
WR,Russell Shepard (11265904),Russell Shepard,11265904,CPT,600,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
WR,Russell Shepard (11265870),Russell Shepard,11265870,FLEX,400,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
TE,Dalton Schultz (11265905),Dalton Schultz,11265905,CPT,300,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Rico Gathers (11265906),Rico Gathers,11265906,CPT,300,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
WR,Kaelin Clay (11265907),Kaelin Clay,11265907,CPT,300,NYG@DAL 09/16/2018 08:20PM ET,NYG,-1
RB,Jamize Olawale (11265908),Jamize Olawale,11265908,CPT,300,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Shane Smith (11265909),Shane Smith,11265909,CPT,300,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
WR,Noah Brown (11265910),Noah Brown,11265910,CPT,300,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Scott Simonson (11265911),Scott Simonson,11265911,CPT,300,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
TE,Dalton Schultz (11265871),Dalton Schultz,11265871,FLEX,200,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Rico Gathers (11265872),Rico Gathers,11265872,FLEX,200,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
WR,Kaelin Clay (11265873),Kaelin Clay,11265873,FLEX,200,NYG@DAL 09/16/2018 08:20PM ET,NYG,-1
RB,Jamize Olawale (11265874),Jamize Olawale,11265874,FLEX,200,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Shane Smith (11265875),Shane Smith,11265875,FLEX,200,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
WR,Noah Brown (11265876),Noah Brown,11265876,FLEX,200,NYG@DAL 09/16/2018 08:20PM ET,DAL,0
TE,Scott Simonson (11265877),Scott Simonson,11265877,FLEX,200,NYG@DAL 09/16/2018 08:20PM ET,NYG,0
