PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Todd Gurley	RB	LAR	@SEA	-345	50.50	0.00	25.25	16.35	9400	22.3	2.4
Jared Goff	QB	LAR	@SEA	-345	50.50	0.00	25.25	3.77	6500	18.2	2.8
Philip Rivers	QB	LAC	OAK	-235	51.50	-5.00	28.25	12.60	6700	21.7	3.2
Kirk Cousins	QB	MIN	@PHI	160	48.00	3.50	22.25	18.05	6000	16.7	2.8
Melvin Gordon	RB	LAC	OAK	-235	51.50	-5.00	28.25	64.83	8600	19.9	2.3
Carson Wentz	QB	PHI	MIN	-190	48.00	-3.50	25.75	10.37	5800	17.3	3.0
Russell Wilson	QB	SEA	LAR	275	50.50	0.00	25.25	8.14	5100	18.2	3.6
Derek Carr	QB	OAK	@LAC	190	51.50	5.00	23.25	46.33	5200	15.2	2.9
Adam Thielen	WR	MIN	@PHI	160	48.00	3.50	22.25	28.65	7700	18.9	2.5
Keenan Allen	WR	LAC	OAK	-235	51.50	-5.00	28.25	54.03	7800	17.5	2.2
David Johnson	RB	ARI	@SF	140	40.50	3.00	18.75	18.62	6300	17.3	2.8
Stefon Diggs	WR	MIN	@PHI	160	48.00	3.50	22.25	22.23	7000	15.2	2.2
Josh Rosen	QB	ARI	@SF	140	40.50	3.00	18.75	0.74	4700	0.0	0.0
C.J. Beathard	QB	SF	ARI	-165	40.50	-3.00	21.75	0.00	4900	14.6	3.0
Zach Ertz	TE	PHI	MIN	-190	48.00	-3.50	25.75	18.14	6500	14.6	2.3
Brandin Cooks	WR	LAR	@SEA	-345	50.50	0.00	25.25	6.69	7400	16.2	2.2
Robert Woods	WR	LAR	@SEA	-345	50.50	0.00	25.25	6.13	6500	12.8	2.0
Cooper Kupp	WR	LAR	@SEA	-345	50.50	0.00	25.25	6.12	6300	14.8	2.3
Marshawn Lynch	RB	OAK	@LAC	190	51.50	5.00	23.25	33.27	5500	11.2	2.0
Amari Cooper	WR	OAK	@LAC	190	51.50	5.00	23.25	30.58	5500	12.2	2.2
Larry Fitzgerald	WR	ARI	@SF	140	40.50	3.00	18.75	11.90	4700	10.7	2.3
Alshon Jeffery	WR	PHI	MIN	-190	48.00	-3.50	25.75	9.33	6200	15.3	2.5
Doug Baldwin	WR	SEA	LAR	275	50.50	0.00	25.25	6.32	5000	13.3	2.7
Mike Williams	WR	LAC	OAK	-235	51.50	-5.00	28.25	37.97	4200	9.9	2.3
Jay Ajayi	RB	PHI	MIN	-190	48.00	-3.50	25.75	8.58	5100	11.1	2.2
Nelson Agholor	WR	PHI	MIN	-190	48.00	-3.50	25.75	9.24	5300	11.4	2.2
Jared Cook	TE	OAK	@LAC	190	51.50	5.00	23.25	21.86	4800	9.3	1.9
Matt Breida	RB	SF	ARI	-165	40.50	-3.00	21.75	3.61	5700	11.5	2.0
Tyler Lockett	WR	SEA	LAR	275	50.50	0.00	25.25	5.45	4600	10.2	2.2
Tyrell Williams	WR	LAC	OAK	-235	51.50	-5.00	28.25	36.53	3600	12.9	3.6
Austin Ekeler	RB	LAC	OAK	-235	51.50	-5.00	28.25	40.40	4200	8.4	2.0
Chris Carson	RB	SEA	LAR	275	50.50	0.00	25.25	6.58	4100	12.5	3.1
Jordy Nelson	WR	OAK	@LAC	190	51.50	5.00	23.25	20.98	4500	10.3	2.3
Dalvin Cook	RB	MIN	@PHI	160	48.00	3.50	22.25	8.19	5300	14.6	2.8
Marquise Goodwin	WR	SF	ARI	-165	40.50	-3.00	21.75	3.44	4500	9.0	2.0
Kyle Rudolph	TE	MIN	@PHI	160	48.00	3.50	22.25	12.34	4500	8.3	1.8
Jordan Matthews	WR	PHI	MIN	-190	48.00	-3.50	25.75	9.18	3500	3.6	1.0
Christian Kirk	WR	ARI	@SF	140	40.50	3.00	18.75	6.68	3700	10.0	2.7
George Kittle	TE	SF	ARI	-165	40.50	-3.00	21.75	6.37	5400	9.1	1.7
Pierre Garcon	WR	SF	ARI	-165	40.50	-3.00	21.75	2.68	4300	9.4	2.2
Brandon Marshall	WR	SEA	LAR	275	50.50	0.00	25.25	3.31	3800	1.6	0.4
Wendell Smallwood	RB	PHI	MIN	-190	48.00	-3.50	25.75	6.68	3500	6.1	1.7
Latavius Murray	RB	MIN	@PHI	160	48.00	3.50	22.25	6.26	4500	12.9	2.9
Jalen Richard	RB	OAK	@LAC	190	51.50	5.00	23.25	21.45	3400	8.1	2.4
Alfred Morris	RB	SF	ARI	-165	40.50	-3.00	21.75	2.68	3600	6.3	1.8
Jaron Brown	WR	SEA	LAR	275	50.50	0.00	25.25	2.46	3500	0.4	0.1
Los Angeles Rams	D	LAR	@SEA	275	50.50	0.00	25.25	0.00	3800	7.1	1.9
Martavis Bryant	WR	OAK	@LAC	190	51.50	5.00	23.25	12.11	3400	8.0	2.3
Aldrick Robinson	WR	MIN	@PHI	160	48.00	3.50	22.25	5.61	3300	2.3	0.7
Philadelphia Eagles	D	PHI	MIN	160	48.00	3.50	22.25	0.00	2600	6.9	2.6
Nick Vannett	TE	SEA	LAR	275	50.50	0.00	25.25	6.58	2500	6.0	2.4
San Francisco 49ers	D	SF	ARI	140	40.50	3.00	18.75	0.00	3000	5.9	2.0
Los Angeles Chargers	D	LAC	OAK	190	51.50	5.00	23.25	0.00	3100	9.5	3.1
Ricky Seals-Jones	TE	ARI	@SF	140	40.50	3.00	18.75	5.63	2900	5.9	2.1
Dallas Goedert	TE	PHI	MIN	-190	48.00	-3.50	25.75	6.81	2700	4.3	1.6
Arizona Cardinals	D	ARI	@SF	-165	40.50	-3.00	21.75	0.00	2900	7.0	2.4
Corey Clement	RB	PHI	MIN	-190	48.00	-3.50	25.75	1.48	4500	6.8	1.5
Kendrick Bourne	WR	SF	ARI	-165	40.50	-3.00	21.75	0.90	3200	3.4	1.1
Trent Taylor	WR	SF	ARI	-165	40.50	-3.00	21.75	0.81	3400	6.8	2.0
Antonio Gates	TE	LAC	OAK	-235	51.50	-5.00	28.25	13.97	2800	5.7	2.0
Chad Williams	WR	ARI	@SF	140	40.50	3.00	18.75	1.78	3000	5.9	2.0
Minnesota Vikings	D	MIN	@PHI	-190	48.00	-3.50	25.75	0.00	2300	7.1	3.1
Laquon Treadwell	WR	MIN	@PHI	160	48.00	3.50	22.25	1.92	3300	6.5	2.0
Tyler Higbee	TE	LAR	@SEA	-345	50.50	0.00	25.25	2.64	2500	2.4	0.9
Seattle Seahawks	D	SEA	LAR	-345	50.50	0.00	25.25	0.00	2100	5.8	2.8
Mike Davis	RB	SEA	LAR	275	50.50	0.00	25.25	0.60	3500	6.3	1.8
Doug Martin	RB	OAK	@LAC	190	51.50	5.00	23.25	3.96	3700	4.4	1.2
Oakland Raiders	D	OAK	@LAC	-235	51.50	-5.00	28.25	0.00	2000	4.3	2.2
Malcolm Brown	RB	LAR	@SEA	-345	50.50	0.00	25.25	0.12	4300	3.2	0.8
Virgil Green	TE	LAC	OAK	-235	51.50	-5.00	28.25	8.39	2500	3.8	1.5
Rashaad Penny	RB	SEA	LAR	275	50.50	0.00	25.25	0.24	3600	3.7	1.0
Chase Edmonds	RB	ARI	@SF	140	40.50	3.00	18.75	0.47	4300	5.7	1.3
Josh Reynolds	WR	LAR	@SEA	-345	50.50	0.00	25.25	0.05	3000	0.6	0.2
Kyle Juszczyk	RB	SF	ARI	-165	40.50	-3.00	21.75	0.14	3100	6.8	2.2
Seth Roberts	WR	OAK	@LAC	190	51.50	5.00	23.25	1.60	3200	2.8	0.9
J.J. Nelson	WR	ARI	@SF	140	40.50	3.00	18.75	0.13	3000	2.2	0.7
Gerald Everett	TE	LAR	@SEA	-345	50.50	0.00	25.25	0.46	2500	2.8	1.1
Garrett Celek	TE	SF	ARI	-165	40.50	-3.00	21.75	0.52	2500	2.0	0.8
Jermaine Gresham	TE	ARI	@SF	140	40.50	3.00	18.75	1.03	2500	3.3	1.3
David Morgan	TE	MIN	@PHI	160	48.00	3.50	22.25	1.70	2500	2.3	0.9
Josh Adams	RB	PHI	MIN	-190	48.00	-3.50	25.75	0.12	3000	0.9	0.3
Derek Carrier	TE	OAK	@LAC	190	51.50	5.00	23.25	2.98	2500	2.1	0.9
C.J. Ham	RB	MIN	@PHI	160	48.00	3.50	22.25	0.26	3000	2.1	0.7
Kamar Aiken	WR	PHI	MIN	-190	48.00	-3.50	25.75	0.07	3000	0.5	0.2
Shelton Gibson	WR	PHI	MIN	-190	48.00	-3.50	25.75	0.06	3000	0.0	0.0
DeAndre Carter	WR	PHI	MIN	-190	48.00	-3.50	25.75	0.05	3000	0.0	0.0
John Kelly	RB	LAR	@SEA	-345	50.50	0.00	25.25	0.01	4000	0.5	0.1
Raheem Mostert	RB	SF	ARI	-165	40.50	-3.00	21.75	0.00	3000	0.5	0.2
C.J. Prosise	RB	SEA	LAR	275	50.50	0.00	25.25	0.01	3000	0.2	0.1
Tyler Conklin	TE	MIN	@PHI	160	48.00	3.50	22.25	0.59	2500	0.6	0.2
Mike Boone	RB	MIN	@PHI	160	48.00	3.50	22.25	0.09	3000	3.2	1.1
Nick Foles	QB	PHI	MIN	-190	48.00	-3.50	25.75	0.00	4500	0.1	0.0
J.J. Jones	WR	LAC	OAK	-235	51.50	-5.00	28.25	0.00	3000	0.0	0.0
Derek Watt	RB	LAC	OAK	-235	51.50	-5.00	28.25	0.00	3000	0.3	0.1
Lee Smith	TE	OAK	@LAC	190	51.50	5.00	23.25	0.00	2500	0.7	0.3
