PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Kyle Nelson	TE	SF	LAR	350	52.00	9.50	21.25	0.00	2500	0.0	0.0
Vyncint Smith	WR	HOU	@JAX	175	41.00	4.50	18.25	0.00	3000	0.0	0.0
Jay Ajayi	RB	PHI	CAR	-225	44.50	-4.50	24.50	0.00	3000	0.0	0.0
Buddy Howell	RB	HOU	@JAX	175	41.00	4.50	18.25	0.00	3000	0.0	0.0
Durham Smythe	TE	MIA	DET	135	46.50	3.00	21.75	0.00	2500	0.0	0.0
Terrance Williams	WR	DAL	@WAS	100	41.50	1.00	20.25	0.00	3000	0.0	0.0
Tyrod Taylor	QB	CLE	@TB	165	51.50	3.50	24.00	0.00	4500	0.0	0.0
Chris Manhertz	TE	CAR	@PHI	185	44.50	4.50	20.00	0.00	2500	0.0	0.0
Shaun Wilson	RB	TB	CLE	-195	51.50	-3.50	27.50	0.00	3000	0.0	0.0
Brian Hoyer	QB	NE	@CHI	-150	48.50	-2.50	25.50	0.00	4500	0.0	0.0
Kenneth Dixon	RB	BAL	NO	-145	49.50	-2.50	26.00	0.00	3000	0.0	0.0
Rex Burkhead	RB	NE	@CHI	-150	48.50	-2.50	25.50	0.00	3500	0.0	0.0
Michael Burton	RB	CHI	NE	130	48.50	2.50	23.00	0.00	3000	0.0	0.0
Ryan Griffin	TE	HOU	@JAX	175	41.00	4.50	18.25	0.00	2500	0.0	0.0
Dante Pettis	WR	SF	LAR	350	52.00	9.50	21.25	0.00	3500	0.0	0.0
Dwayne Allen	TE	NE	@CHI	-150	48.50	-2.50	25.50	0.00	2600	0.0	0.0
Justin Davis	RB	LAR	@SF	-450	52.00	-9.50	30.75	0.00	3000	0.0	0.0
Darren Sproles	RB	PHI	CAR	-225	44.50	-4.50	24.50	0.00	4000	0.0	0.0
Jeremy Sprinkle	TE	WAS	DAL	-120	41.50	-1.00	21.25	0.00	2500	0.0	0.0
Matt Cassel	QB	DET	@MIA	-160	46.50	-3.00	24.75	0.00	4400	0.0	0.0
Andre Roberts	WR	NYJ	MIN	165	46.00	3.50	21.25	0.00	3100	0.0	0.0
Jimmy Garoppolo	QB	SF	LAR	350	52.00	9.50	21.25	0.00	4000	0.0	0.0
Josh Allen	QB	BUF	@IND	265	43.00	7.50	17.75	0.00	4800	0.0	0.0
Ryan Fitzpatrick	QB	TB	CLE	-195	51.50	-3.50	27.50	0.00	4800	0.0	0.0
Corey Grant	RB	JAX	HOU	-210	41.00	-4.50	22.75	0.00	3000	0.0	0.0
Dwayne Washington	RB	NO	@BAL	125	49.50	2.50	23.50	0.00	3000	0.0	0.0
Nick Foles	QB	PHI	CAR	-225	44.50	-4.50	24.50	0.00	4500	0.0	0.0
Cameron Artis-Payne	RB	CAR	@PHI	185	44.50	4.50	20.00	0.00	3000	0.0	0.0
Tavon Austin	WR	DAL	@WAS	100	41.50	1.00	20.25	0.00	3000	0.0	0.0
Kevin McDermott	TE	MIN	@NYJ	-195	46.00	-3.50	24.75	0.00	2500	0.0	0.0
Ben Braunecker	TE	CHI	NE	130	48.50	2.50	23.00	0.00	2500	0.0	0.0
Ryan Tannehill	QB	MIA	DET	135	46.50	3.00	21.75	0.00	5200	0.0	0.0
Jamison Crowder	WR	WAS	DAL	-120	41.50	-1.00	21.25	0.00	4500	0.0	0.0
Patrick Scales	TE	CHI	NE	130	48.50	2.50	23.00	0.00	2500	0.0	0.0
Senorise Perry	RB	MIA	DET	135	46.50	3.00	21.75	0.00	3000	0.0	0.0
Leonard Fournette	RB	JAX	HOU	-210	41.00	-4.50	22.75	0.00	6000	0.0	0.0
Dalton Schultz	TE	DAL	@WAS	100	41.50	1.00	20.25	0.00	2500	0.0	0.0
Teddy Bridgewater	QB	NO	@BAL	125	49.50	2.50	23.50	0.00	4500	0.0	0.0
Alan Cross	TE	TB	CLE	-195	51.50	-3.50	27.50	0.00	2500	0.0	0.0
Brandon Bolden	RB	MIA	DET	135	46.50	3.00	21.75	0.00	3000	0.0	0.0
Taiwan Jones	RB	BUF	@IND	265	43.00	7.50	17.75	0.00	3000	0.0	0.0
Rod Streater	WR	CLE	@TB	165	51.50	3.50	24.00	0.00	3000	0.0	0.0
Cooper Rush	QB	DAL	@WAS	100	41.50	1.00	20.25	0.00	4200	0.0	0.0
Dontrell Hilliard	RB	CLE	@TB	165	51.50	3.50	24.00	0.00	3000	0.0	0.0
Dan Arnold	TE	NO	@BAL	125	49.50	2.50	23.50	0.00	2500	0.0	0.0
Chase Daniel	QB	CHI	NE	130	48.50	2.50	23.00	0.00	4500	0.0	0.0
JoJo Natson	WR	LAR	@SF	-450	52.00	-9.50	30.75	0.00	3000	0.0	0.0
Ted Ginn	WR	NO	@BAL	125	49.50	2.50	23.50	0.00	4400	0.0	0.0
Trenton Cannon	RB	NYJ	MIN	165	46.00	3.50	21.25	0.00	3000	0.0	0.0
Johnny Mundt	TE	LAR	@SF	-450	52.00	-9.50	30.75	0.00	2500	0.0	0.0
Ryan Grant	WR	IND	BUF	-330	43.00	-7.50	25.25	0.00	4300	0.0	0.0
Jacoby Brissett	QB	IND	BUF	-330	43.00	-7.50	25.25	0.00	4500	0.0	0.0
Mike Wallace	WR	PHI	CAR	-225	44.50	-4.50	24.50	0.00	3000	0.0	0.0
Joe Webb	QB	HOU	@JAX	175	41.00	4.50	18.25	0.00	4000	0.0	0.0
Gus Edwards	RB	BAL	NO	-145	49.50	-2.50	26.00	0.00	3000	0.0	0.0
Damiere Byrd	WR	CAR	@PHI	185	44.50	4.50	20.00	0.00	3000	0.0	0.0
Niles Paul	TE	JAX	HOU	-210	41.00	-4.50	22.75	0.00	2600	0.0	0.0
David Fales	QB	MIA	DET	135	46.50	3.00	21.75	0.00	4000	0.0	0.0
Brandon Weeden	QB	HOU	@JAX	175	41.00	4.50	18.25	0.00	4300	0.0	0.0
Jaleel Scott	WR	BAL	NO	-145	49.50	-2.50	26.00	0.00	3000	0.0	0.0
Richard Rodgers	TE	PHI	CAR	-225	44.50	-4.50	24.50	0.00	2500	0.0	0.0
Elijah McGuire	RB	NYJ	MIN	165	46.00	3.50	21.25	0.00	3000	0.0	0.0
Ryan Griffin	QB	TB	CLE	-195	51.50	-3.50	27.50	0.00	4500	0.0	0.0
Adam Shaheen	TE	CHI	NE	130	48.50	2.50	23.00	0.00	2500	0.0	0.0
Byron Marshall	RB	WAS	DAL	-120	41.50	-1.00	21.25	0.00	3000	0.0	0.0
Braxton Berrios	WR	NE	@CHI	-150	48.50	-2.50	25.50	0.00	3000	0.0	0.0
Drew Stanton	QB	CLE	@TB	165	51.50	3.50	24.00	0.00	4000	0.0	0.0
Noah Brown	WR	DAL	@WAS	100	41.50	1.00	20.25	0.00	3000	0.0	0.0
Taylor Heinicke	QB	CAR	@PHI	185	44.50	4.50	20.00	0.00	4000	0.0	0.0
Quincy Adeboyejo	WR	BAL	NO	-145	49.50	-2.50	26.00	0.00	3000	0.0	0.0
Kyle Sloter	QB	MIN	@NYJ	-195	46.00	-3.50	24.75	0.00	4000	0.0	0.0
Cody Kessler	QB	JAX	HOU	-210	41.00	-4.50	22.75	0.00	4400	0.0	0.0
D'Onta Foreman	RB	HOU	@JAX	175	41.00	4.50	18.25	0.00	3700	0.0	0.0
Brandon Powell	WR	DET	@MIA	-160	46.50	-3.00	24.75	0.00	3000	0.0	0.0
Colt McCoy	QB	WAS	DAL	-120	41.50	-1.00	21.25	0.00	4400	0.0	0.0
Trevor Siemian	QB	MIN	@NYJ	-195	46.00	-3.50	24.75	0.00	4400	0.0	0.0
Nate Sudfeld	QB	PHI	CAR	-225	44.50	-4.50	24.50	0.00	4000	0.0	0.0
Josiah Price	TE	MIN	@NYJ	-195	46.00	-3.50	24.75	0.00	2500	0.0	0.0
Cody Hollister	WR	NE	@CHI	-150	48.50	-2.50	25.50	0.00	3000	0.0	0.0
Mack Hollins	WR	PHI	CAR	-225	44.50	-4.50	24.50	0.00	3000	0.0	0.0
Elijah Hood	RB	CAR	@PHI	185	44.50	4.50	20.00	0.00	3000	0.0	0.0
Nick Mullens	QB	SF	LAR	350	52.00	9.50	21.25	0.00	4500	0.0	0.0
Robert Griffin	QB	BAL	NO	-145	49.50	-2.50	26.00	0.00	4500	0.0	0.0
Mike White	QB	DAL	@WAS	100	41.50	1.00	20.25	0.00	4000	0.0	0.0
Josh McCown	QB	NYJ	MIN	165	46.00	3.50	21.25	0.00	4300	0.0	0.0
Sean Mannion	QB	LAR	@SF	-450	52.00	-9.50	30.75	0.00	4400	0.0	0.0
Jordan Lasley	WR	BAL	NO	-145	49.50	-2.50	26.00	0.00	3000	0.0	0.0
