PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Todd Gurley	RB	LAR	@SF	-450	52.00	-9.50	30.75	13.06	9800	26.2	2.7
Jared Goff	QB	LAR	@SF	-450	52.00	-9.50	30.75	3.90	6600	11.8	1.8
Jameis Winston	QB	TB	CLE	-195	51.50	-3.50	27.50	14.55	6300	12.5	2.0
Adam Thielen	WR	MIN	@NYJ	-195	46.00	-3.50	24.75	12.52	8600	28.1	3.3
Cam Newton	QB	CAR	@PHI	185	44.50	4.50	20.00	7.55	5900	15.6	2.6
Christian McCaffrey	RB	CAR	@PHI	185	44.50	4.50	20.00	10.86	7700	17.7	2.3
Kirk Cousins	QB	MIN	@NYJ	-195	46.00	-3.50	24.75	3.24	6400	13.7	2.1
Andrew Luck	QB	IND	BUF	-330	43.00	-7.50	25.25	8.39	6200	11.5	1.9
Carson Wentz	QB	PHI	CAR	-225	44.50	-4.50	24.50	6.29	6000	11.6	1.9
Drew Brees	QB	NO	@BAL	125	49.50	2.50	23.50	9.16	5700	11.7	2.1
Alvin Kamara	RB	NO	@BAL	125	49.50	2.50	23.50	15.63	8500	18.2	2.1
Tom Brady	QB	NE	@CHI	-150	48.50	-2.50	25.50	4.42	6100	11.2	1.8
Deshaun Watson	QB	HOU	@JAX	175	41.00	4.50	18.25	4.10	5500	14.1	2.6
Michael Thomas	WR	NO	@BAL	125	49.50	2.50	23.50	20.17	7900	24.9	3.2
Mitchell Trubisky	QB	CHI	NE	130	48.50	2.50	23.00	4.29	5600	12.7	2.3
Joe Flacco	QB	BAL	NO	-145	49.50	-2.50	26.00	8.79	5400	11.8	2.2
Matthew Stafford	QB	DET	@MIA	-160	46.50	-3.00	24.75	2.74	5800	10.7	1.9
Baker Mayfield	QB	CLE	@TB	165	51.50	3.50	24.00	10.45	5800	11.6	2.0
Ezekiel Elliott	RB	DAL	@WAS	100	41.50	1.00	20.25	6.34	8100	27.1	3.3
Blake Bortles	QB	JAX	HOU	-210	41.00	-4.50	22.75	3.27	5200	13.6	2.6
Alex Smith	QB	WAS	DAL	-120	41.50	-1.00	21.25	1.98	5100	12.8	2.5
C.J. Beathard	QB	SF	LAR	350	52.00	9.50	21.25	2.06	4800	12.4	2.6
Dak Prescott	QB	DAL	@WAS	100	41.50	1.00	20.25	1.91	5300	15.2	2.9
Mike Evans	WR	TB	CLE	-195	51.50	-3.50	27.50	24.30	7700	26.7	3.5
James White	RB	NE	@CHI	-150	48.50	-2.50	25.50	6.58	6900	12.4	1.8
Jarvis Landry	WR	CLE	@TB	165	51.50	3.50	24.00	28.14	7300	28.0	3.8
T.J. Yeldon	RB	JAX	HOU	-210	41.00	-4.50	22.75	7.63	6400	17.5	2.7
DeAndre Hopkins	WR	HOU	@JAX	175	41.00	4.50	18.25	7.35	6900	25.5	3.7
Robert Woods	WR	LAR	@SF	-450	52.00	-9.50	30.75	6.85	7000	10.0	1.4
Stefon Diggs	WR	MIN	@NYJ	-195	46.00	-3.50	24.75	6.55	7200	10.0	1.4
Zach Ertz	TE	PHI	CAR	-225	44.50	-4.50	24.50	7.42	7100	27.0	3.8
Brandin Cooks	WR	LAR	@SF	-450	52.00	-9.50	30.75	5.30	7100	23.9	3.4
Golden Tate	WR	DET	@MIA	-160	46.50	-3.00	24.75	6.07	6400	10.0	1.6
Sony Michel	RB	NE	@CHI	-150	48.50	-2.50	25.50	6.00	5500	20.4	3.7
Sam Darnold	QB	NYJ	MIN	165	46.00	3.50	21.25	0.89	4900	11.2	2.3
Rob Gronkowski	TE	NE	@CHI	-150	48.50	-2.50	25.50	5.31	6000	21.6	3.6
Chris Thompson	RB	WAS	DAL	-120	41.50	-1.00	21.25	2.45	5800	13.0	2.2
Matt Breida	RB	SF	LAR	350	52.00	9.50	21.25	3.88	5300	18.3	3.5
Willie Snead	WR	BAL	NO	-145	49.50	-2.50	26.00	17.23	4000	19.6	4.9
Julian Edelman	WR	NE	@CHI	-150	48.50	-2.50	25.50	4.99	6600	21.3	3.2
Eric Ebron	TE	IND	BUF	-330	43.00	-7.50	25.25	7.54	5400	23.0	4.3
Tarik Cohen	RB	CHI	NE	130	48.50	2.50	23.00	6.95	5100	13.8	2.7
T.Y. Hilton	WR	IND	BUF	-330	43.00	-7.50	25.25	9.90	6200	23.9	3.8
Latavius Murray	RB	MIN	@NYJ	-195	46.00	-3.50	24.75	4.46	5000	21.9	4.4
Alshon Jeffery	WR	PHI	CAR	-225	44.50	-4.50	24.50	6.02	6300	24.1	3.8
Javorius Allen	RB	BAL	NO	-145	49.50	-2.50	26.00	13.35	4500	14.6	3.3
Michael Crabtree	WR	BAL	NO	-145	49.50	-2.50	26.00	11.34	5100	24.1	4.7
LeSean McCoy	RB	BUF	@IND	265	43.00	7.50	17.75	11.02	5600	19.7	3.5
Kenny Golladay	WR	DET	@MIA	-160	46.50	-3.00	24.75	4.13	6000	25.2	4.2
Jordan Howard	RB	CHI	NE	130	48.50	2.50	23.00	5.61	5500	18.7	3.4
Brock Osweiler	QB	MIA	DET	135	46.50	3.00	21.75	0.49	4700	11.7	2.5
Allen Robinson	WR	CHI	NE	130	48.50	2.50	23.00	5.58	6100	23.0	3.8
Mark Ingram	RB	NO	@BAL	125	49.50	2.50	23.50	6.50	5900	18.8	3.2
Kerryon Johnson	RB	DET	@MIA	-160	46.50	-3.00	24.75	4.40	4500	16.9	3.8
Greg Olsen	TE	CAR	@PHI	185	44.50	4.50	20.00	5.52	4400	17.7	4.0
Alex Collins	RB	BAL	NO	-145	49.50	-2.50	26.00	9.94	4800	18.0	3.8
DeSean Jackson	WR	TB	CLE	-195	51.50	-3.50	27.50	13.38	5800	10.0	1.7
George Kittle	TE	SF	LAR	350	52.00	9.50	21.25	3.79	5000	20.8	4.2
Marvin Jones	WR	DET	@MIA	-160	46.50	-3.00	24.75	3.93	4900	23.7	4.8
Adrian Peterson	RB	WAS	DAL	-120	41.50	-1.00	21.25	2.12	4600	16.9	3.7
Bilal Powell	RB	NYJ	MIN	165	46.00	3.50	21.25	1.75	4200	16.2	3.8
Nick Chubb	RB	CLE	@TB	165	51.50	3.50	24.00	27.04	3600	11.6	3.2
Derek Anderson	QB	BUF	@IND	265	43.00	7.50	17.75	1.51	4300	13.5	3.2
Devin Funchess	WR	CAR	@PHI	185	44.50	4.50	20.00	4.57	5300	22.0	4.2
Duke Johnson	RB	CLE	@TB	165	51.50	3.50	24.00	22.71	4000	11.8	3.0
Taylor Gabriel	WR	CHI	NE	130	48.50	2.50	23.00	5.69	4700	10.0	2.1
Jordan Reed	TE	WAS	DAL	-120	41.50	-1.00	21.25	3.17	4800	23.1	4.8
Peyton Barber	RB	TB	CLE	-195	51.50	-3.50	27.50	18.72	3800	19.8	5.2
Cole Beasley	WR	DAL	@WAS	100	41.50	1.00	20.25	4.14	3900	18.3	4.7
Kyle Rudolph	TE	MIN	@NYJ	-195	46.00	-3.50	24.75	4.36	3900	19.3	4.9
