PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Jared Goff	QB	LAR	@DEN	-310	51.50	0.00	25.75	4.79	6000	24.2	4.0
Kirk Cousins	QB	MIN	ARI	-510	43.00	-10.00	26.50	8.09	6700	24.2	3.6
Jameis Winston	QB	TB	@ATL	145	57.50	3.00	27.25	12.22	5800	24.1	4.2
Antonio Brown	WR	PIT	@CIN	105	51.00	1.50	24.75	18.44	8700	24.0	2.8
Todd Gurley	RB	LAR	@DEN	-310	51.50	0.00	25.75	10.99	10000	23.9	2.4
Julio Jones	WR	ATL	TB	-170	57.50	-3.00	30.25	28.59	7900	23.9	3.0
Matt Ryan	QB	ATL	TB	-170	57.50	-3.00	30.25	11.60	6800	23.8	3.5
Adam Thielen	WR	MIN	ARI	-510	43.00	-10.00	26.50	15.11	8500	23.5	2.8
Ben Roethlisberger	QB	PIT	@CIN	105	51.00	1.50	24.75	6.59	6500	23.4	3.6
Philip Rivers	QB	LAC	@CLE	0	0.00	0.00	0.00	4.51	5900	23.3	4.0
Deshaun Watson	QB	HOU	BUF	-480	41.00	-10.00	25.50	9.14	6400	23.0	3.6
Christian McCaffrey	RB	CAR	@WAS	100	44.00	1.00	21.50	16.76	8300	22.8	2.8
Cam Newton	QB	CAR	@WAS	100	44.00	1.00	21.50	5.19	6100	21.5	3.5
Russell Wilson	QB	SEA	@OAK	-145	48.50	0.00	24.25	4.41	5700	20.3	3.6
Andy Dalton	QB	CIN	PIT	-125	51.00	-1.50	26.25	6.64	6300	20.3	3.2
Melvin Gordon	RB	LAC	@CLE	0	0.00	0.00	0.00	10.51	8200	20.2	2.5
Andrew Luck	QB	IND	@NYJ	105	45.50	2.00	21.75	4.73	6200	19.9	3.2
Mike Evans	WR	TB	@ATL	145	57.50	3.00	27.25	20.03	8100	19.6	2.4
Keenan Allen	WR	LAC	@CLE	0	0.00	0.00	0.00	10.55	7500	19.5	2.6
James Conner	RB	PIT	@CIN	105	51.00	1.50	24.75	19.88	7700	19.5	2.5
A.J. Green	WR	CIN	PIT	-125	51.00	-1.50	26.25	13.19	8000	19.5	2.4
DeAndre Hopkins	WR	HOU	BUF	-480	41.00	-10.00	25.50	14.42	7700	19.4	2.5
Stefon Diggs	WR	MIN	ARI	-510	43.00	-10.00	26.50	11.92	7600	18.3	2.4
Alex Smith	QB	WAS	CAR	-120	44.00	-1.00	22.50	2.76	5400	18.2	3.4
Joe Mixon	RB	CIN	PIT	-125	51.00	-1.50	26.25	10.90	7500	17.5	2.3
Ezekiel Elliott	RB	DAL	JAX	145	40.50	0.00	20.25	3.19	7000	17.4	2.5
Derek Carr	QB	OAK	SEA	125	48.50	0.00	24.25	2.69	5100	17.3	3.4
Blake Bortles	QB	JAX	@DAL	-170	40.50	0.00	20.25	1.23	5600	17.1	3.1
Mitchell Trubisky	QB	CHI	@MIA	-195	41.50	0.00	20.75	1.25	5300	16.8	3.2
Joe Flacco	QB	BAL	@TEN	-140	41.50	0.00	20.75	1.41	5200	16.8	3.2
Marcus Mariota	QB	TEN	BAL	120	41.50	0.00	20.75	1.18	5400	16.7	3.1
Baker Mayfield	QB	CLE	LAC	0	0.00	0.00	0.00	2.06	5500	16.4	3.0
Robert Woods	WR	LAR	@DEN	-310	51.50	0.00	25.75	5.77	6900	16.3	2.4
T.J. Yeldon	RB	JAX	@DAL	-170	40.50	0.00	20.25	3.23	6400	16.3	2.6
Jarvis Landry	WR	CLE	LAC	0	0.00	0.00	0.00	8.19	6600	16.3	2.5
Case Keenum	QB	DEN	LAR	250	51.50	0.00	25.75	1.76	5500	16.2	3.0
David Johnson	RB	ARI	@MIN	380	43.00	10.00	16.50	8.12	5900	16.1	2.7
JuJu Smith-Schuster	WR	PIT	@CIN	105	51.00	1.50	24.75	11.00	7300	16.1	2.2
Ryan Tannehill	QB	MIA	CHI	165	41.50	0.00	20.75	0.84	4900	15.5	3.2
Tevin Coleman	RB	ATL	TB	-170	57.50	-3.00	30.25	27.72	5400	15.3	2.8
Brandin Cooks	WR	LAR	@DEN	-310	51.50	0.00	25.75	4.44	7000	14.9	2.1
Josh Allen	QB	BUF	@HOU	360	41.00	10.00	15.50	2.39	4700	14.9	3.2
Dak Prescott	QB	DAL	JAX	145	40.50	0.00	20.25	0.69	4700	14.9	3.2
Sam Darnold	QB	NYJ	IND	-125	45.50	-2.00	23.75	1.74	5300	14.8	2.8
Emmanuel Sanders	WR	DEN	LAR	250	51.50	0.00	25.75	5.67	6700	14.7	2.2
Chris Thompson	RB	WAS	CAR	-120	44.00	-1.00	22.50	4.02	6100	14.5	2.4
Cooper Kupp	WR	LAR	@DEN	-310	51.50	0.00	25.75	4.05	6500	14.1	2.2
Jordan Howard	RB	CHI	@MIA	-195	41.50	0.00	20.75	2.72	6500	14.1	2.2
Josh Rosen	QB	ARI	@MIN	380	43.00	10.00	16.50	2.08	4700	13.7	2.9
Phillip Lindsay	RB	DEN	LAR	250	51.50	0.00	25.75	7.99	4500	13.6	3.0
Demaryius Thomas	WR	DEN	LAR	250	51.50	0.00	25.75	5.00	5800	13.4	2.3
Carlos Hyde	RB	CLE	LAC	0	0.00	0.00	0.00	7.31	4900	13.1	2.7
Tyler Boyd	WR	CIN	PIT	-125	51.00	-1.50	26.25	6.30	6000	13.1	2.2
Eric Ebron	TE	IND	@NYJ	105	45.50	2.00	21.75	6.95	5400	13.1	2.4
Will Fuller	WR	HOU	BUF	-480	41.00	-10.00	25.50	6.38	6800	13.0	1.9
Javorius Allen	RB	BAL	@TEN	-140	41.50	0.00	20.75	2.66	4800	12.8	2.7
