Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Dominick Wood-Anderson (11364097),Dominick Wood-Anderson,11364097,WR/FLEX/S-FLEX,3000,TENN@UGA 09/29/2018 03:30PM ET,TENN,4.47
WR,Tommy Bush (11364248),Tommy Bush,11364248,WR/FLEX/S-FLEX,3000,TENN@UGA 09/29/2018 03:30PM ET,UGA,0
WR,John FitzPatrick (11364256),John FitzPatrick,11364256,WR/FLEX/S-FLEX,3000,TENN@UGA 09/29/2018 03:30PM ET,UGA,0
WR,Luke Ford (11364259),Luke Ford,11364259,WR/FLEX/S-FLEX,3000,TENN@UGA 09/29/2018 03:30PM ET,UGA,1.4
WR,Jaylen Johnson (11364262),Jaylen Johnson,11364262,WR/FLEX/S-FLEX,3000,TENN@UGA 09/29/2018 03:30PM ET,UGA,0
RB,Garrett Jones (11364265),Garrett Jones,11364265,RB/FLEX/S-FLEX,3000,TENN@UGA 09/29/2018 03:30PM ET,UGA,0
WR,Peyton Mercer (11364268),Peyton Mercer,11364268,WR/FLEX/S-FLEX,3000,TENN@UGA 09/29/2018 03:30PM ET,UGA,0
RB,Carson Meier (11363176),Carson Meier,11363176,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,6.15
WR,Nick Basquine (11363209),Nick Basquine,11363209,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,1.2
WR,Jamie Jacobs (11363224),Jamie Jacobs,11363224,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Trevor White (11363245),Trevor White,11363245,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Cody George (11363383),Cody George,11363383,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Pooh Stricklin (11363392),Pooh Stricklin,11363392,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,1.9
WR,Marques Jones (11363404),Marques Jones,11363404,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,5.73
WR,Sam Iheke (11363410),Sam Iheke,11363410,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Spencer Jones (11363504),Spencer Jones,11363504,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Jared Atkinson (11363530),Jared Atkinson,11363530,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,1.44
RB,Kyle Boyd (11363533),Kyle Boyd,11363533,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
RB,Koby Bullard (11363536),Koby Bullard,11363536,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Russell Morrison (11363544),Russell Morrison,11363544,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
RB,Joe Castiglione Jr. (11363629),Joe Castiglione Jr.,11363629,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
RB,Jeremiah Hall (11363632),Jeremiah Hall,11363632,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Chase Nevel (11363635),Chase Nevel,11363635,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Myles Tease (11363644),Myles Tease,11363644,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,6.25
WR,Reggie Turner (11363647),Reggie Turner,11363647,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,R.J. Sneed (11363704),R.J. Sneed,11363704,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
RB,Abram Smith (11363710),Abram Smith,11363710,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,1.1
WR,Charleston Rambo (11363794),Charleston Rambo,11363794,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
RB,Dru Dixon (11363847),Dru Dixon,11363847,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Tyler Henderson (11363853),Tyler Henderson,11363853,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0.9
WR,Gavin Holmes (11363856),Gavin Holmes,11363856,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Jaquayln Crawford (11363998),Jaquayln Crawford,11363998,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
RB,T.J. Pledger (11364001),T.J. Pledger,11364001,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,2.65
WR,Christoph Henle (11364012),Christoph Henle,11364012,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,2.07
WR,Brayden Willis (11364100),Brayden Willis,11364100,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
RB,Coby Tillman (11364103),Coby Tillman,11364103,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Drake Stoops (11364106),Drake Stoops,11364106,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,3.6
WR,Devin Staton (11364109),Devin Staton,11364109,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Dane Saltarelli (11364112),Dane Saltarelli,11364112,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Jaylon Robinson (11364115),Jaylon Robinson,11364115,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,2.9
WR,Karsten Mathis (11364120),Karsten Mathis,11364120,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Andrew Magee (11364123),Andrew Magee,11364123,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Kalon Barnes (11364163),Kalon Barnes,11364163,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Jackson Gleeson (11364171),Jackson Gleeson,11364171,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Ben Sims (11364174),Ben Sims,11364174,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Bralen Taylor (11364177),Bralen Taylor,11364177,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
RB,Craig Williams (11364182),Craig Williams,11364182,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
RB,Michael Anderson (11364273),Michael Anderson,11364273,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
RB,Isaiah Harris (11364276),Isaiah Harris,11364276,RB/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Will Baxter (11364279),Will Baxter,11364279,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,BAY,0
WR,Zach Kerstetter (11364285),Zach Kerstetter,11364285,WR/FLEX/S-FLEX,3000,BAY@OU 09/29/2018 03:30PM ET,OU,0
WR,Andrew Beck (11363193),Andrew Beck,11363193,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,3.15
RB,Justin Silmon (11363230),Justin Silmon,11363230,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0.4
RB,Tim Yoder (11363286),Tim Yoder,11363286,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Philipp Moeller (11363289),Philipp Moeller,11363289,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Blaise Gammon (11363325),Blaise Gammon,11363325,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,2.15
WR,John Burt (11363355),John Burt,11363355,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Chris Fehr (11363358),Chris Fehr,11363358,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
RB,Tristian Houston (11363361),Tristian Houston,11363361,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
RB,Kirk Johnson (11363364),Kirk Johnson,11363364,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
RB,Luke Sowa (11363375),Luke Sowa,11363375,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Wykeen Gill (11363567),Wykeen Gill,11363567,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Isaiah Harris (11363570),Isaiah Harris,11363570,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,1.5
WR,Nick Lenners (11363573),Nick Lenners,11363573,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
RB,Mike McCoy (11363576),Mike McCoy,11363576,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,D.J. Render (11363579),D.J. Render,11363579,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Matt Jones (11363605),Matt Jones,11363605,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
RB,Mason Barta (11363699),Mason Barta,11363699,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Hunter Rison (11363707),Hunter Rison,11363707,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
RB,Adam Harter (11363799),Adam Harter,11363799,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Eric Hommel (11363804),Eric Hommel,11363804,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Logan Long (11363807),Logan Long,11363807,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Spencer Misko (11363810),Spencer Misko,11363810,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
RB,Cornelius Ruff IV (11363813),Cornelius Ruff IV,11363813,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Chabastin Taylor (11363816),Chabastin Taylor,11363816,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,1.5
WR,Landry Weber (11363819),Landry Weber,11363819,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Dylan Wentzel (11363822),Dylan Wentzel,11363822,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
RB,Harry Trotter (11363831),Harry Trotter,11363831,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Cade Brewer (11363864),Cade Brewer,11363864,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,1.95
WR,Rob Cummins (11363867),Rob Cummins,11363867,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Reese Leitao (11363870),Reese Leitao,11363870,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Jordan Pouncey (11363873),Jordan Pouncey,11363873,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Kai Jarmon (11363935),Kai Jarmon,11363935,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Brennan Eagles (11363938),Brennan Eagles,11363938,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,4.5
WR,Austin Hibbetts (11363941),Austin Hibbetts,11363941,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Cameron Cotton (11364037),Cameron Cotton,11364037,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Malcolm Epps (11364126),Malcolm Epps,11364126,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Joshua Matthews (11364132),Joshua Matthews,11364132,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Joshua Moore (11364135),Joshua Moore,11364135,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,5.1
RB,Jarrett Smith (11364140),Jarrett Smith,11364140,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Travis West (11364143),Travis West,11364143,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
RB,Kamari Williams (11364146),Kamari Williams,11364146,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Al'Vonte Woodard (11364149),Al'Vonte Woodard,11364149,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,UT,0
WR,Phillip Brooks (11364185),Phillip Brooks,11364185,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
RB,Kirk Coomes (11364188),Kirk Coomes,11364188,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Thomas Helten (11364191),Thomas Helten,11364191,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Malik Knowles (11364196),Malik Knowles,11364196,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Jaquay Lane (11364199),Jaquay Lane,11364199,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Elliot Ollenburger (11364202),Elliot Ollenburger,11364202,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,Seth Porter (11364205),Seth Porter,11364205,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
WR,EJ Turner (11364208),EJ Turner,11364208,WR/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
RB,Michael Warmack (11364211),Michael Warmack,11364211,RB/FLEX/S-FLEX,3000,UT@KSU 09/29/2018 03:30PM ET,KSU,0
RB,Cole Blake (11363221),Cole Blake,11363221,RB/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Tristan Reaves (11363236),Tristan Reaves,11363236,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Kellen McAlone (11363242),Kellen McAlone,11363242,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Will Gragg (11363280),Will Gragg,11363280,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Jacob Harris (11363378),Jacob Harris,11363378,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Jim Medure (11363395),Jim Medure,11363395,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,2.5
WR,Tristan Payton (11363398),Tristan Payton,11363398,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,3.3
WR,Cam Stewart (11363401),Cam Stewart,11363401,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Brett Bell (11363438),Brett Bell,11363438,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Aaron Mathews (11363499),Aaron Mathews,11363499,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,2.05
WR,Jake Hescock (11363524),Jake Hescock,11363524,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Jaquarius Bargnare (11363550),Jaquarius Bargnare,11363550,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Dontay Mayfield (11363556),Dontay Mayfield,11363556,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Alex Harris (11363599),Alex Harris,11363599,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Anthony Roberson (11363602),Anthony Roberson,11363602,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
RB,Kyle Vreen (11363608),Kyle Vreen,11363608,RB/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
RB,Bentavious Thompson (11363681),Bentavious Thompson,11363681,RB/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,2.57
WR,Michael Vardzel (11363693),Michael Vardzel,11363693,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
RB,Peyton Deri (11363696),Peyton Deri,11363696,RB/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Kyle Benkel (11363716),Kyle Benkel,11363716,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Elijah Spann (11363722),Elijah Spann,11363722,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Tyler Williams (11363764),Tyler Williams,11363764,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Grant Carrigan (11363770),Grant Carrigan,11363770,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Tyler Sear (11363776),Tyler Sear,11363776,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,1.3
RB,Todd Sibley Jr. (11363779),Todd Sibley Jr.,11363779,RB/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Michael Smith (11363782),Michael Smith,11363782,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Darian Street (11363785),Darian Street,11363785,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Jonathon MacCollister (11363828),Jonathon MacCollister,11363828,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Garrett Bickhart (11363917),Garrett Bickhart,11363917,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
RB,Ryan Sliwoski (11363920),Ryan Sliwoski,11363920,RB/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,0
WR,Kenyon Johnson (11363923),Kenyon Johnson,11363923,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Shocky Jacques-Louis (11363953),Shocky Jacques-Louis,11363953,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,PITT,3.3
WR,Chris DeLoach (11364043),Chris DeLoach,11364043,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
WR,Ke'von Ahmad (11364066),Ke'von Ahmad,11364066,WR/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
RB,Trillion Coles (11364069),Trillion Coles,11364069,RB/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
RB,Jarrion Finley (11364072),Jarrion Finley,11364072,RB/FLEX/S-FLEX,3000,PITT@UCF 09/29/2018 03:30PM ET,UCF,0
