PLAYER	POS	REAL POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Austin Hooper	UT	TE	ATL	@PIT	155	57.00	3.50	26.75	5.89	4200	8.1	1.9
Cameron Meredith	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	4.92	3000	7.9	2.6
Aldrick Robinson	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	1.14	1800	7.7	4.3
Geoff Swaim	UT	TE	DAL	@HOU	145	45.50	3.00	21.25	1.38	2800	7.6	2.7
Philadelphia Eagles	UT	D	PHI	MIN	-170	47.00	-3.00	25.00	0.00	3000	7.5	2.5
Michael Gallup	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	1.31	3800	7.3	1.9
Houston Texans	UT	D	HOU	DAL	-170	45.50	-3.00	24.25	0.00	4400	7.3	1.7
James Washington	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	5.83	2400	7.1	2.9
Josh Doctson	UT	WR	WAS	@NO	220	52.50	6.00	23.25	4.94	4000	6.7	1.7
Jordan Wilkins	UT	RB	IND	@NE	465	49.50	10.50	19.50	7.33	1800	6.6	3.7
New Orleans Saints	UT	D	NO	WAS	-270	52.50	-6.00	29.25	0.00	2800	6.3	2.3
Dallas Goedert	UT	TE	PHI	MIN	-170	47.00	-3.00	25.00	0.51	2400	6.3	2.6
Corey Clement	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	0.50	4400	6.2	1.4
Ryan Switzer	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	5.15	2600	5.8	2.2
Minnesota Vikings	UT	D	MIN	@PHI	145	47.00	3.00	22.00	0.00	2800	5.8	2.1
Dallas Cowboys	UT	D	DAL	@HOU	145	45.50	3.00	21.25	0.00	3000	5.7	1.9
Ryan Griffin	UT	TE	HOU	DAL	-170	45.50	-3.00	24.25	0.52	1600	5.6	3.5
Cordarrelle Patterson	UT	WR	NE	IND	-630	49.50	-10.50	30.00	6.77	2400	5.6	2.3
Pittsburgh Steelers	UT	D	PIT	ATL	-185	57.00	-3.50	30.25	0.00	2200	5.6	2.5
