PLAYER	POS	REAL POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Allen Hurns	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	1.00	4200	15.8	3.8
Laquon Treadwell	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	0.61	2000	15.7	7.9
Vernon Davis	UT	TE	WAS	@NO	220	52.50	6.00	23.25	4.22	1800	12.7	7.1
Washington Redskins	UT	D	WAS	@NO	220	52.50	6.00	23.25	0.00	2400	5.8	2.4
Jacob Hollister	UT	TE	NE	IND	-630	49.50	-10.50	30.00	20.72	200	10.0	50.0
Rod Smith	UT	RB	DAL	@HOU	145	45.50	3.00	21.25	0.87	5200	10.7	2.1
Jordan Thomas	UT	TE	HOU	DAL	-170	45.50	-3.00	24.25	0.50	800	0.0	0.0
Atlanta Falcons	UT	D	ATL	@PIT	155	57.00	3.50	26.75	0.00	2000	5.9	2.9
Marcus Johnson	UT	WR	IND	@NE	465	49.50	10.50	19.50	8.79	400	10.0	25.0
Indianapolis Colts	UT	D	IND	@NE	465	49.50	10.50	19.50	0.00	2200	5.2	2.3
Deonte Thompson	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	0.63	1800	16.4	9.1
Jesse James	UT	TE	PIT	ATL	-185	57.00	-3.50	30.25	4.05	3600	0.0	0.0
Austin Carr	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	4.15	600	11.7	19.5
Jordan Akins	UT	TE	HOU	DAL	-170	45.50	-3.00	24.25	0.21	1400	13.2	9.4
Tre'Quan Smith	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	2.90	1400	12.3	8.8
Brice Butler	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	0.83	600	0.0	0.0
Marvin Hall	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	4.12	600	10.0	16.7
Ito Smith	UT	RB	ATL	@PIT	155	57.00	3.50	26.75	3.32	1800	0.0	0.0
Josh Hill	UT	TE	NO	WAS	-270	52.50	-6.00	29.25	2.71	1000	10.0	10.0
Logan Paulsen	UT	TE	ATL	@PIT	155	57.00	3.50	26.75	3.32	1000	10.0	10.0
David Morgan	UT	TE	MIN	@PHI	145	47.00	3.00	22.00	0.28	800	10.0	12.5
Robert Turbin	UT	RB	IND	@NE	465	49.50	10.50	19.50	4.53	800	10.0	12.5
Josh Adams	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	0.11	800	0.0	0.0
C.J. Ham	UT	FB	MIN	@PHI	145	47.00	3.00	22.00	0.23	600	10.0	16.7
Kamar Aiken	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.08	1400	10.8	7.7
Sammie Coates	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.08	1000	10.0	10.0
Shelton Gibson	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.15	400	10.0	25.0
DeAndre Carter	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.14	400	0.0	0.0
Justin Hunter	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	3.38	400	0.0	0.0
Samaje Perine	UT	RB	WAS	@NO	220	52.50	6.00	23.25	2.52	1200	10.0	8.3
Darrius Heyward-Bey	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	3.21	400	10.0	25.0
Taysom Hill	UT	QB	NO	WAS	-270	52.50	-6.00	29.25	2.00	1600	10.0	6.3
Stevan Ridley	UT	RB	PIT	ATL	-185	57.00	-3.50	30.25	2.63	600	10.9	18.1
Jeremy Sprinkle	UT	TE	WAS	@NO	220	52.50	6.00	23.25	2.58	200	10.0	50.0
Maurice Harris	UT	WR	WAS	@NO	220	52.50	6.00	23.25	2.52	200	10.0	50.0
Rico Gathers	UT	TE	DAL	@HOU	145	45.50	3.00	21.25	0.27	200	11.0	55.0
Justin Hardy	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	2.47	200	10.0	50.0
Tyler Conklin	UT	TE	MIN	@PHI	145	47.00	3.00	22.00	0.09	200	10.0	50.0
Blake Jarwin	UT	TE	DAL	@HOU	145	45.50	3.00	21.25	0.22	200	10.7	53.3
Brian Quick	UT	WR	WAS	@NO	220	52.50	6.00	23.25	2.13	600	10.0	16.7
Kapri Bibbs	UT	RB	WAS	@NO	220	52.50	6.00	23.25	2.13	800	0.0	0.0
Ryan Hewitt	UT	TE	IND	@NE	465	49.50	10.50	19.50	3.38	200	10.0	50.0
Mike Boone	UT	RB	MIN	@PHI	145	47.00	3.00	22.00	0.07	200	10.0	50.0
Nick Foles	UT	QB	PHI	MIN	-170	47.00	-3.00	25.00	0.00	6600	10.0	1.5
Russell Gage	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	0.00	200	10.0	50.0
Chris Boswell	UT	K	PIT	ATL	-185	57.00	-3.50	30.25	0.00	3200	10.0	3.1
Stephen Gostkowski	UT	K	NE	IND	-630	49.50	-10.50	30.00	4.47	3400	10.0	2.9
Dwayne Washington	UT	RB	NO	WAS	-270	52.50	-6.00	29.25	0.00	200	0.0	0.0
Adam Vinatieri	UT	K	IND	@NE	465	49.50	10.50	19.50	0.00	3200	10.0	3.1
Dustin Hopkins	UT	K	WAS	@NO	220	52.50	6.00	23.25	0.00	3200	10.0	3.1
Kevin McDermott	UT	C	MIN	@PHI	145	47.00	3.00	22.00	0.00	200	0.0	0.0
Wil Lutz	UT	K	NO	WAS	-270	52.50	-6.00	29.25	0.00	3600	10.0	2.8
Roc Thomas	UT	RB	MIN	@PHI	145	47.00	3.00	22.00	0.00	200	0.0	0.0
Dalton Schultz	UT	TE	DAL	@HOU	145	45.50	3.00	21.25	0.00	200	10.0	50.0
Ka'imi Fairbairn	UT	K	HOU	DAL	-170	45.50	-3.00	24.25	0.00	3600	10.0	2.8
Ted Ginn	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	0.00	5600	0.0	0.0
Joshua Perkins	UT	TE	PHI	MIN	-170	47.00	-3.00	25.00	0.00	1000	12.0	12.0
Jacoby Brissett	UT	QB	IND	@NE	465	49.50	10.50	19.50	0.00	6800	10.0	1.5
Roosevelt Nix	UT	FB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	200	10.0	50.0
Mike Wallace	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.00	200	0.0	0.0
Rob Kelley	UT	RB	WAS	@NO	220	52.50	6.00	23.25	0.00	200	0.0	0.0
Jack Doyle	UT	TE	IND	@NE	465	49.50	10.50	19.50	0.00	6400	10.0	1.6
Matt Bryant	UT	K	ATL	@PIT	155	57.00	3.50	26.75	0.00	3000	10.0	3.3
Zach Line	UT	FB	NO	WAS	-270	52.50	-6.00	29.25	0.00	200	10.0	50.0
Ricky Ortiz	UT	FB	ATL	@PIT	155	57.00	3.50	26.75	0.00	200	0.0	0.0
Bruce Ellington	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	0.0	0.0
Brandon Zylstra	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	0.00	200	10.0	50.0
Jamize Olawale	UT	FB	DAL	@HOU	145	45.50	3.00	21.25	0.00	200	10.0	50.0
Darren Sproles	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	0.00	3800	0.0	0.0
Dan Bailey	UT	K	MIN	@PHI	145	47.00	3.00	22.00	0.24	3400	10.0	2.9
James Develin	UT	FB	NE	IND	-630	49.50	-10.50	30.00	0.00	200	10.0	50.0
Xavier Grimble	UT	TE	PIT	ATL	-185	57.00	-3.50	30.25	0.00	200	10.0	50.0
T.Y. Hilton	UT	WR	IND	@NE	465	49.50	10.50	19.50	0.00	8800	10.0	1.1
Rex Burkhead	UT	RB	NE	IND	-630	49.50	-10.50	30.00	0.00	200	0.0	0.0
Tyler Ervin	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	10.0	50.0
Matt Schaub	UT	QB	ATL	@PIT	155	57.00	3.50	26.75	0.00	7200	10.0	1.4
Brian Hoyer	UT	QB	NE	IND	-630	49.50	-10.50	30.00	0.00	6800	10.0	1.5
Marlon Mack	UT	RB	IND	@NE	465	49.50	10.50	19.50	0.00	2200	10.0	4.6
Brian Hill	UT	RB	ATL	@PIT	155	57.00	3.50	26.75	0.00	200	10.0	50.0
Jake Elliott	UT	K	PHI	MIN	-170	47.00	-3.00	25.00	0.00	3600	10.0	2.8
Eric Saubert	UT	TE	ATL	@PIT	155	57.00	3.50	26.75	0.00	200	10.0	50.0
Vyncint Smith	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	0.0	0.0
Brett Maher	UT	K	DAL	@HOU	145	45.50	3.00	21.25	0.37	3400	0.0	0.0
Dwayne Allen	UT	TE	NE	IND	-630	49.50	-10.50	30.00	0.00	2000	10.0	5.0
Buddy Howell	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	10.0	50.0
Terrance Williams	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	0.00	400	0.0	0.0
Matthew Slater	UT	WR	NE	IND	-630	49.50	-10.50	30.00	0.00	200	10.0	50.0
Jaylen Samuels	UT	RB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	600	0.0	0.0
Eli Rogers	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	0.00	200	0.0	0.0
Mason Rudolph	UT	QB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	7200	0.0	0.0
Josiah Price	UT	TE	MIN	@PHI	145	47.00	3.00	22.00	0.00	200	0.0	0.0
Le'Veon Bell	UT	RB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	200	0.0	0.0
Brandon Weeden	UT	QB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	6400	10.0	1.6
Noah Brown	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	0.00	200	0.0	0.0
Byron Marshall	UT	RB	WAS	@NO	220	52.50	6.00	23.25	0.00	200	0.0	0.0
Dan Arnold	UT	TE	NO	WAS	-270	52.50	-6.00	29.25	0.00	200	10.0	50.0
Braxton Berrios	UT	WR	NE	IND	-630	49.50	-10.50	30.00	0.00	200	0.0	0.0
Teddy Bridgewater	UT	QB	NO	WAS	-270	52.50	-6.00	29.25	0.00	6400	10.0	1.6
Cody Hollister	UT	WR	NE	IND	-630	49.50	-10.50	30.00	0.00	200	0.0	0.0
Mack Hollins	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.00	200	0.0	0.0
Michael Floyd	UT	WR	WAS	@NO	220	52.50	6.00	23.25	0.00	1600	0.0	0.0
Cooper Rush	UT	QB	DAL	@HOU	145	45.50	3.00	21.25	0.00	6400	10.0	1.6
D'Onta Foreman	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.00	200	0.0	0.0
Richard Rodgers	UT	TE	PHI	MIN	-170	47.00	-3.00	25.00	0.00	200	0.0	0.0
Colt McCoy	UT	QB	WAS	@NO	220	52.50	6.00	23.25	0.00	6400	10.0	1.6
Joshua Dobbs	UT	QB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	7200	10.0	1.4
Trevor Siemian	UT	QB	MIN	@PHI	145	47.00	3.00	22.00	0.00	6600	10.0	1.5
