Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Ryan Switzer (11394782),Ryan Switzer,11394782,FLEX,2600,ATL@PIT 10/07/2018 01:00PM ET,PIT,5.98
WR,James Washington (11394783),James Washington,11394783,FLEX,2400,ATL@PIT 10/07/2018 01:00PM ET,PIT,3.98
DST,Steelers  (11394784),Steelers ,11394784,FLEX,2200,ATL@PIT 10/07/2018 01:00PM ET,PIT,8.25
DST,Falcons  (11394785),Falcons ,11394785,FLEX,2000,ATL@PIT 10/07/2018 01:00PM ET,ATL,2.75
RB,Ito Smith (11394786),Ito Smith,11394786,FLEX,1800,ATL@PIT 10/07/2018 01:00PM ET,ATL,6.68
TE,Logan Paulsen (11394825),Logan Paulsen,11394825,CPT,1500,ATL@PIT 10/07/2018 01:00PM ET,ATL,3.2
TE,Logan Paulsen (11394787),Logan Paulsen,11394787,FLEX,1000,ATL@PIT 10/07/2018 01:00PM ET,ATL,3.2
WR,Marvin Hall (11394826),Marvin Hall,11394826,CPT,900,ATL@PIT 10/07/2018 01:00PM ET,ATL,1.72
RB,Stevan Ridley (11394827),Stevan Ridley,11394827,CPT,900,ATL@PIT 10/07/2018 01:00PM ET,PIT,1.17
RB,Jaylen Samuels (11394828),Jaylen Samuels,11394828,CPT,900,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
WR,Marvin Hall (11394788),Marvin Hall,11394788,FLEX,600,ATL@PIT 10/07/2018 01:00PM ET,ATL,1.72
RB,Stevan Ridley (11394789),Stevan Ridley,11394789,FLEX,600,ATL@PIT 10/07/2018 01:00PM ET,PIT,1.17
RB,Jaylen Samuels (11394790),Jaylen Samuels,11394790,FLEX,600,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
WR,Justin Hunter (11394829),Justin Hunter,11394829,CPT,600,ATL@PIT 10/07/2018 01:00PM ET,PIT,1.6
WR,Darrius Heyward-Bey (11394830),Darrius Heyward-Bey,11394830,CPT,600,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
WR,Justin Hunter (11394791),Justin Hunter,11394791,FLEX,400,ATL@PIT 10/07/2018 01:00PM ET,PIT,1.6
WR,Darrius Heyward-Bey (11394792),Darrius Heyward-Bey,11394792,FLEX,400,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
RB,Le'Veon Bell (11394831),Le'Veon Bell,11394831,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
WR,Justin Hardy (11394832),Justin Hardy,11394832,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,ATL,0.35
RB,Ricky Ortiz (11394833),Ricky Ortiz,11394833,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
RB,Brian Hill (11394834),Brian Hill,11394834,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
WR,Russell Gage (11394835),Russell Gage,11394835,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
TE,Eric Saubert (11394836),Eric Saubert,11394836,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
RB,Roosevelt Nix (11394837),Roosevelt Nix,11394837,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,PIT,0.72
WR,Eli Rogers (11394838),Eli Rogers,11394838,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
TE,Xavier Grimble (11394839),Xavier Grimble,11394839,CPT,300,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
RB,Le'Veon Bell (11394793),Le'Veon Bell,11394793,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
WR,Justin Hardy (11394794),Justin Hardy,11394794,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,ATL,0.35
RB,Ricky Ortiz (11394795),Ricky Ortiz,11394795,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
RB,Brian Hill (11394796),Brian Hill,11394796,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
WR,Russell Gage (11394797),Russell Gage,11394797,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
TE,Eric Saubert (11394798),Eric Saubert,11394798,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,ATL,0
RB,Roosevelt Nix (11394799),Roosevelt Nix,11394799,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,PIT,0.72
WR,Eli Rogers (11394800),Eli Rogers,11394800,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
TE,Xavier Grimble (11394801),Xavier Grimble,11394801,FLEX,200,ATL@PIT 10/07/2018 01:00PM ET,PIT,0
