PLAYER	POS	REAL POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Julian Edelman	UT	WR	NE	IND	-630	49.50	-10.50	30.00	11.84	7400	11.4	1.5
Calvin Ridley	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	9.11	8200	11.8	1.4
Adrian Peterson	UT	RB	WAS	@NO	220	52.50	6.00	23.25	8.42	7200	11.3	1.6
Jamison Crowder	UT	WR	WAS	@NO	220	52.50	6.00	23.25	8.01	6200	8.7	1.4
Alshon Jeffery	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	1.76	9000	15.1	1.7
Jordan Reed	UT	TE	WAS	@NO	220	52.50	6.00	23.25	8.46	7800	11.9	1.5
Will Fuller	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	1.76	8800	14.6	1.7
Rob Gronkowski	UT	TE	NE	IND	-630	49.50	-10.50	30.00	11.94	9800	18.0	1.8
Josh Gordon	UT	WR	NE	IND	-630	49.50	-10.50	30.00	11.12	7800	8.5	1.1
Jay Ajayi	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	1.45	6400	11.2	1.8
Chester Rogers	UT	WR	IND	@NE	465	49.50	10.50	19.50	10.18	6000	11.3	1.9
Nelson Agholor	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	1.50	7400	11.5	1.6
Eric Ebron	UT	TE	IND	@NE	465	49.50	10.50	19.50	10.08	6400	12.8	2.0
Mohamed Sanu	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	7.87	5800	9.2	1.6
Ryan Grant	UT	WR	IND	@NE	465	49.50	10.50	19.50	10.00	6200	10.7	1.7
Nyheim Hines	UT	RB	IND	@NE	465	49.50	10.50	19.50	9.88	6600	11.9	1.8
Mark Ingram	UT	RB	NO	WAS	-270	52.50	-6.00	29.25	6.70	7000	11.4	1.6
Dalvin Cook	UT	RB	MIN	@PHI	145	47.00	3.00	22.00	1.54	5600	14.6	2.6
Zach Pascal	UT	WR	IND	@NE	465	49.50	10.50	19.50	10.24	2000	9.1	4.5
Lamar Miller	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	1.13	6000	13.3	2.2
Cole Beasley	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	2.03	5600	8.3	1.5
Tevin Coleman	UT	RB	ATL	@PIT	155	57.00	3.50	26.75	7.23	6600	11.3	1.7
Kyle Rudolph	UT	TE	MIN	@PHI	145	47.00	3.00	22.00	1.45	6000	8.1	1.4
Jordan Matthews	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	1.11	2600	3.8	1.5
Paul Richardson	UT	WR	WAS	@NO	220	52.50	6.00	23.25	6.50	4800	8.6	1.8
Keke Coutee	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	1.03	6800	5.5	0.8
Chris Hogan	UT	WR	NE	IND	-630	49.50	-10.50	30.00	8.87	4800	7.3	1.5
Vance McDonald	UT	TE	PIT	ATL	-185	57.00	-3.50	30.25	6.83	5400	8.4	1.6
Wendell Smallwood	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	0.89	2800	6.5	2.3
Latavius Murray	UT	RB	MIN	@PHI	145	47.00	3.00	22.00	1.19	5000	13.6	2.7
New England Patriots	UT	D	NE	IND	-630	49.50	-10.50	30.00	0.00	4000	6.4	1.6
Phillip Dorsett	UT	WR	NE	IND	-630	49.50	-10.50	30.00	8.29	3600	3.3	0.9
Ben Watson	UT	TE	NO	WAS	-270	52.50	-6.00	29.25	5.08	3400	8.0	2.4
Tavon Austin	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	1.46	3200	4.3	1.4
Alfred Blue	UT	RB	HOU	DAL	-170	45.50	-3.00	24.25	0.73	4600	5.4	1.2
Austin Hooper	UT	TE	ATL	@PIT	155	57.00	3.50	26.75	5.89	4200	8.4	2.0
Cameron Meredith	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	4.92	3000	5.8	1.9
Aldrick Robinson	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	1.14	1800	2.5	1.4
Geoff Swaim	UT	TE	DAL	@HOU	145	45.50	3.00	21.25	1.38	2800	5.8	2.1
Philadelphia Eagles	UT	D	PHI	MIN	-170	47.00	-3.00	25.00	0.00	3000	7.0	2.3
Michael Gallup	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	1.31	3800	6.1	1.6
Houston Texans	UT	D	HOU	DAL	-170	45.50	-3.00	24.25	0.00	4400	5.8	1.3
James Washington	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	5.83	2400	6.6	2.8
Josh Doctson	UT	WR	WAS	@NO	220	52.50	6.00	23.25	4.94	4000	6.3	1.6
Jordan Wilkins	UT	RB	IND	@NE	465	49.50	10.50	19.50	7.33	1800	6.1	3.4
New Orleans Saints	UT	D	NO	WAS	-270	52.50	-6.00	29.25	0.00	2800	5.7	2.0
Dallas Goedert	UT	TE	PHI	MIN	-170	47.00	-3.00	25.00	0.51	2400	4.5	1.9
Corey Clement	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	0.50	4400	6.8	1.5
Ryan Switzer	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	5.15	2600	4.0	1.5
Minnesota Vikings	UT	D	MIN	@PHI	145	47.00	3.00	22.00	0.00	2800	6.1	2.2
Dallas Cowboys	UT	D	DAL	@HOU	145	45.50	3.00	21.25	0.00	3000	7.3	2.5
Ryan Griffin	UT	TE	HOU	DAL	-170	45.50	-3.00	24.25	0.52	1600	3.5	2.2
Cordarrelle Patterson	UT	WR	NE	IND	-630	49.50	-10.50	30.00	6.77	2400	1.9	0.8
Pittsburgh Steelers	UT	D	PIT	ATL	-185	57.00	-3.50	30.25	0.00	2200	6.3	2.8
Allen Hurns	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	1.00	4200	6.6	1.6
Laquon Treadwell	UT	WR	MIN	@PHI	145	47.00	3.00	22.00	0.61	2000	6.2	3.1
Vernon Davis	UT	TE	WAS	@NO	220	52.50	6.00	23.25	4.22	1800	4.6	2.6
Washington Redskins	UT	D	WAS	@NO	220	52.50	6.00	23.25	0.00	2400	4.2	1.8
Jacob Hollister	UT	TE	NE	IND	-630	49.50	-10.50	30.00	20.72	200	1.7	8.4
Rod Smith	UT	RB	DAL	@HOU	145	45.50	3.00	21.25	0.87	5200	2.0	0.4
Jordan Thomas	UT	TE	HOU	DAL	-170	45.50	-3.00	24.25	0.50	800	0.0	0.0
Atlanta Falcons	UT	D	ATL	@PIT	155	57.00	3.50	26.75	0.00	2000	6.5	3.3
Marcus Johnson	UT	WR	IND	@NE	465	49.50	10.50	19.50	8.79	400	5.6	13.9
Indianapolis Colts	UT	D	IND	@NE	465	49.50	10.50	19.50	0.00	2200	5.1	2.3
Deonte Thompson	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	0.63	1800	5.1	2.8
Jesse James	UT	TE	PIT	ATL	-185	57.00	-3.50	30.25	4.05	3600	3.5	1.0
Austin Carr	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	4.15	600	0.6	1.0
Jordan Akins	UT	TE	HOU	DAL	-170	45.50	-3.00	24.25	0.21	1400	2.9	2.1
Tre'Quan Smith	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	2.90	1400	2.7	1.9
Brice Butler	UT	WR	DAL	@HOU	145	45.50	3.00	21.25	0.83	600	2.7	4.4
Marvin Hall	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	4.12	600	0.9	1.5
Ito Smith	UT	RB	ATL	@PIT	155	57.00	3.50	26.75	3.32	1800	0.0	0.0
Josh Hill	UT	TE	NO	WAS	-270	52.50	-6.00	29.25	2.71	1000	2.2	2.2
Logan Paulsen	UT	TE	ATL	@PIT	155	57.00	3.50	26.75	3.32	1000	2.1	2.1
David Morgan	UT	TE	MIN	@PHI	145	47.00	3.00	22.00	0.28	800	2.4	3.0
Robert Turbin	UT	RB	IND	@NE	465	49.50	10.50	19.50	4.53	800	5.8	7.3
Josh Adams	UT	RB	PHI	MIN	-170	47.00	-3.00	25.00	0.11	800	0.8	1.0
C.J. Ham	UT	FB	MIN	@PHI	145	47.00	3.00	22.00	0.23	600	1.8	3.0
Kamar Aiken	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.08	1400	0.4	0.3
Sammie Coates	UT	WR	HOU	DAL	-170	45.50	-3.00	24.25	0.08	1000	0.0	0.0
Shelton Gibson	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.15	400	0.0	0.0
DeAndre Carter	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.14	400	0.0	0.0
Justin Hunter	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	3.38	400	0.0	0.0
Samaje Perine	UT	RB	WAS	@NO	220	52.50	6.00	23.25	2.52	1200	0.0	0.0
Darrius Heyward-Bey	UT	WR	PIT	ATL	-185	57.00	-3.50	30.25	3.21	400	0.0	0.0
Taysom Hill	UT	QB	NO	WAS	-270	52.50	-6.00	29.25	2.00	1600	0.0	0.0
Stevan Ridley	UT	RB	PIT	ATL	-185	57.00	-3.50	30.25	2.63	600	2.4	4.0
