Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Antonio Brown (11320592),Antonio Brown,11320592,CPT,17700,PIT@TB 09/24/2018 08:15PM ET,PIT,20
QB,Ben Roethlisberger (11320593),Ben Roethlisberger,11320593,CPT,16500,PIT@TB 09/24/2018 08:15PM ET,PIT,29.49
QB,Ryan Fitzpatrick (11320594),Ryan Fitzpatrick,11320594,CPT,16200,PIT@TB 09/24/2018 08:15PM ET,TB,39.63
RB,Le'Veon Bell (11320595),Le'Veon Bell,11320595,CPT,15000,PIT@TB 09/24/2018 08:15PM ET,PIT,0
RB,James Conner (11320596),James Conner,11320596,CPT,14400,PIT@TB 09/24/2018 08:15PM ET,PIT,28.85
WR,Mike Evans (11320597),Mike Evans,11320597,CPT,14100,PIT@TB 09/24/2018 08:15PM ET,TB,27
WR,JuJu Smith-Schuster (11320598),JuJu Smith-Schuster,11320598,CPT,13500,PIT@TB 09/24/2018 08:15PM ET,PIT,27
WR,Antonio Brown (11320554),Antonio Brown,11320554,FLEX,11800,PIT@TB 09/24/2018 08:15PM ET,PIT,20
WR,DeSean Jackson (11320599),DeSean Jackson,11320599,CPT,11700,PIT@TB 09/24/2018 08:15PM ET,TB,30.25
QB,Ben Roethlisberger (11320555),Ben Roethlisberger,11320555,FLEX,11000,PIT@TB 09/24/2018 08:15PM ET,PIT,29.49
QB,Ryan Fitzpatrick (11320556),Ryan Fitzpatrick,11320556,FLEX,10800,PIT@TB 09/24/2018 08:15PM ET,TB,39.63
RB,Le'Veon Bell (11320557),Le'Veon Bell,11320557,FLEX,10000,PIT@TB 09/24/2018 08:15PM ET,PIT,0
RB,James Conner (11320558),James Conner,11320558,FLEX,9600,PIT@TB 09/24/2018 08:15PM ET,PIT,28.85
WR,Mike Evans (11320559),Mike Evans,11320559,FLEX,9400,PIT@TB 09/24/2018 08:15PM ET,TB,27
WR,Chris Godwin (11320600),Chris Godwin,11320600,CPT,9300,PIT@TB 09/24/2018 08:15PM ET,TB,14.85
WR,JuJu Smith-Schuster (11320560),JuJu Smith-Schuster,11320560,FLEX,9000,PIT@TB 09/24/2018 08:15PM ET,PIT,27
TE,O.J. Howard (11320601),O.J. Howard,11320601,CPT,8400,PIT@TB 09/24/2018 08:15PM ET,TB,13
