Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,OPKR
TE,Eric Tomlinson (11291504),Eric Tomlinson,11291504,FLEX,1200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,2.55,18
TE,Darren Fells (11291542),Darren Fells,11291542,CPT,1200,NYJ@CLE 09/20/2018 08:20PM ET,CLE,2.85,3
WR,Charone Peake (11291543),Charone Peake,11291543,CPT,900,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,18
TE,Darren Fells (11291505),Darren Fells,11291505,FLEX,800,NYJ@CLE 09/20/2018 08:20PM ET,CLE,2.85,3
WR,Charone Peake (11291506),Charone Peake,11291506,FLEX,600,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,18
TE,Seth DeValve (11291544),Seth DeValve,11291544,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,3
WR,Damion Ratley (11291545),Damion Ratley,11291545,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,19
WR,Derrick Willies (11291546),Derrick Willies,11291546,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,19
TE,Orson Charles (11291547),Orson Charles,11291547,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,3
RB,Elijah McGuire (11291548),Elijah McGuire,11291548,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,23
RB,Trenton Cannon (11291549),Trenton Cannon,11291549,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,1.55,23
WR,Andre Roberts (11291550),Andre Roberts,11291550,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,3.1,18
WR,ArDarius Stewart (11291551),ArDarius Stewart,11291551,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,12
TE,Jordan Leggett (11291552),Jordan Leggett,11291552,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,12
WR,Rod Streater (11291553),Rod Streater,11291553,CPT,300,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,12
TE,Seth DeValve (11291507),Seth DeValve,11291507,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,12
WR,Damion Ratley (11291508),Damion Ratley,11291508,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,12
WR,Derrick Willies (11291509),Derrick Willies,11291509,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,12
TE,Orson Charles (11291510),Orson Charles,11291510,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,12
RB,Elijah McGuire (11291511),Elijah McGuire,11291511,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,12
RB,Trenton Cannon (11291512),Trenton Cannon,11291512,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,1.55,23
WR,Andre Roberts (11291513),Andre Roberts,11291513,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,3.1,18
WR,ArDarius Stewart (11291514),ArDarius Stewart,11291514,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,12
TE,Jordan Leggett (11291515),Jordan Leggett,11291515,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,NYJ,0,12
WR,Rod Streater (11291516),Rod Streater,11291516,FLEX,200,NYJ@CLE 09/20/2018 08:20PM ET,CLE,0,12
