Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Ray Borg (12317741),Ray Borg,12317741,F,9400,Borg@Kenney 03/30/2019 03:30PM ET,Borg,68.19
F,Desmond Green (12317727),Desmond Green,12317727,F,9300,Green@Pearson 03/30/2019 03:30PM ET,Green,41.7
F,Alex Perez (12317737),Alex Perez,12317737,F,9200,De La Rosa@Perez 03/30/2019 03:30PM ET,Perez,82.3
F,Marina Rodriguez (12317719),Marina Rodriguez,12317719,F,9100,Aguilar@Rodriguez 03/30/2019 03:30PM ET,Rodriguez,35
F,Kennedy Nzechukwu (12317723),Kennedy Nzechukwu,12317723,F,9000,Craig@Nzechukwu 03/30/2019 03:30PM ET,Nzechukwu,0
F,Kevin Holland (12317739),Kevin Holland,12317739,F,8900,Holland@Meerschaert 03/30/2019 03:30PM ET,Holland,88.5
F,Sabina Mazo (12317725),Sabina Mazo,12317725,F,8800,Mazo@Moroz 03/30/2019 03:30PM ET,Mazo,0
F,Sodiq Yusuff (12317729),Sodiq Yusuff,12317729,F,8700,Moraes@Yusuff 03/30/2019 03:30PM ET,Yusuff,101.5
F,Karolina Kowalkiewicz (12317717),Karolina Kowalkiewicz,12317717,F,8600,Kowalkiewicz@Waterson 03/30/2019 03:30PM ET,Kowalkiewicz,60.44
F,Edson Barboza (12317721),Edson Barboza,12317721,F,8500,Barboza@Gaethje 03/30/2019 03:30PM ET,Barboza,63.02
F,Michael Johnson (12317733),Michael Johnson,12317733,F,8400,Emmett@Johnson 03/30/2019 03:30PM ET,Johnson,58.58
F,Jack Hermansson (12317731),Jack Hermansson,12317731,F,8300,Branch@Hermansson 03/30/2019 03:30PM ET,Hermansson,78.14
F,Enrique Barzola (12317735),Enrique Barzola,12317735,F,8200,Aguilar@Barzola 03/30/2019 03:30PM ET,Barzola,87.25
F,Kevin Aguilar (12317736),Kevin Aguilar,12317736,F,8000,Aguilar@Barzola 03/30/2019 03:30PM ET,Aguilar,89
F,David Branch (12317732),David Branch,12317732,F,7900,Branch@Hermansson 03/30/2019 03:30PM ET,Branch,45.12
F,Josh Emmett (12317734),Josh Emmett,12317734,F,7800,Emmett@Johnson 03/30/2019 03:30PM ET,Emmett,72.08
F,Justin Gaethje (12317722),Justin Gaethje,12317722,F,7700,Barboza@Gaethje 03/30/2019 03:30PM ET,Gaethje,86
F,Michelle Waterson (12317718),Michelle Waterson,12317718,F,7600,Kowalkiewicz@Waterson 03/30/2019 03:30PM ET,Waterson,72.5
F,Sheymon Moraes (12317730),Sheymon Moraes,12317730,F,7500,Moraes@Yusuff 03/30/2019 03:30PM ET,Moraes,48.17
F,Maryna Moroz (12317726),Maryna Moroz,12317726,F,7400,Mazo@Moroz 03/30/2019 03:30PM ET,Moroz,47.42
F,Gerald Meerschaert (12317740),Gerald Meerschaert,12317740,F,7300,Holland@Meerschaert 03/30/2019 03:30PM ET,Meerschaert,75
F,Paul Craig (12317724),Paul Craig,12317724,F,7200,Craig@Nzechukwu 03/30/2019 03:30PM ET,Craig,43.2
F,Jessica Aguilar (12317720),Jessica Aguilar,12317720,F,7100,Aguilar@Rodriguez 03/30/2019 03:30PM ET,Aguilar,46.25
F,Mark De La Rosa (12317738),Mark DeLaRosa,12317738,F,7000,DeLaRosa@Perez 03/30/2019 03:30PM ET,De La Rosa,53.17
F,Ross Pearson (12317728),Ross Pearson,12317728,F,6900,Green@Pearson 03/30/2019 03:30PM ET,Pearson,49.4
F,Casey Kenney (12317742),Casey Kenney,12317742,F,6800,Borg@Kenney 03/30/2019 03:30PM ET,Kenney,0
