Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
F,Bryce Mitchell (12276603),Bryce Mitchell,12276603,F,7400,Mitchell@Moffett 03/23/2019 05:00PM ET,Mitchell,64
F,Stephen Thompson (12276589),Stephen Thompson,12276589,F,9300,Pettis@Thompson 03/23/2019 05:00PM ET,Thompson,76.88
F,Marlon Vera (12276612),Marlon Vera,12276612,F,8400,Saenz@Vera 03/23/2019 05:00PM ET,Vera,66.65
F,Chris Gutierrez (12276608),Chris Gutierrez,12276608,F,8300,Gutierrez@MacDonald 03/23/2019 05:00PM ET,Gutierrez,13
F,Maycee Barber (12276595),Maycee Barber,12276595,F,8900,Aldrich@Barber 03/23/2019 05:00PM ET,Barber,112
F,Justin Willis (12276592),Justin Willis,12276592,F,7200,Blaydes@Willis 03/23/2019 05:00PM ET,Willis,83.38
F,Angela Hill (12276594),Angela Hill,12276594,F,8200,Hill@Markos 03/23/2019 05:00PM ET,Hill,55.62
F,John Makdessi (12276601),John Makdessi,12276601,F,9100,Makdessi@Pinedo 03/23/2019 05:00PM ET,Makdessi,61.67
F,Deiveson Figueiredo (12276599),Deiveson Figueiredo,12276599,F,8500,Figueiredo@Formiga 03/23/2019 05:00PM ET,Figueiredo,97.5
F,Jussier Formiga (12276600),Jussier Formiga,12276600,F,7700,Figueiredo@Formiga 03/23/2019 05:00PM ET,Formiga,55.88
