F,F,F,F,F,F
12276603,12276589,12276612,12276608,12276595,12276592
12276603,12276589,12276612,12276608,12276595,12276600
12276603,12276589,12276612,12276608,12276592,12276601
12276603,12276589,12276612,12276608,12276592,12276599
12276603,12276589,12276612,12276608,12276594,12276600
12276603,12276589,12276612,12276595,12276592,12276594
12276603,12276589,12276612,12276595,12276592,12276599
12276603,12276589,12276612,12276595,12276594,12276600
12276603,12276589,12276612,12276592,12276594,12276601
12276603,12276589,12276612,12276592,12276594,12276599
12276603,12276589,12276612,12276592,12276601,12276599
12276603,12276589,12276612,12276592,12276601,12276600
12276603,12276589,12276608,12276595,12276592,12276594
12276603,12276589,12276608,12276595,12276592,12276599
12276603,12276589,12276608,12276595,12276594,12276600
12276603,12276589,12276608,12276592,12276594,12276601
12276603,12276589,12276608,12276592,12276601,12276599
12276603,12276589,12276608,12276592,12276601,12276600
12276603,12276589,12276608,12276594,12276601,12276600
12276603,12276589,12276595,12276592,12276594,12276599
12276603,12276589,12276595,12276592,12276601,12276600
12276603,12276589,12276592,12276594,12276601,12276599
12276603,12276612,12276608,12276595,12276592,12276601
12276603,12276612,12276608,12276595,12276594,12276599
12276603,12276612,12276608,12276595,12276601,12276600
12276603,12276612,12276608,12276594,12276601,12276599
12276603,12276612,12276608,12276594,12276601,12276600
12276603,12276612,12276595,12276592,12276594,12276601
12276603,12276612,12276595,12276592,12276601,12276599
12276603,12276612,12276595,12276594,12276601,12276600
12276603,12276608,12276595,12276592,12276594,12276601
12276603,12276608,12276595,12276592,12276601,12276599
12276603,12276608,12276595,12276594,12276601,12276600
12276603,12276595,12276592,12276594,12276601,12276599
12276589,12276612,12276608,12276595,12276592,12276600
12276589,12276612,12276608,12276592,12276594,12276599
12276589,12276612,12276608,12276592,12276594,12276600
12276589,12276612,12276608,12276592,12276601,12276600
12276589,12276612,12276595,12276592,12276594,12276600
12276589,12276612,12276592,12276594,12276601,12276600
12276589,12276608,12276595,12276592,12276594,12276600
12276589,12276608,12276592,12276594,12276601,12276600
12276612,12276608,12276595,12276592,12276594,12276599
12276612,12276608,12276595,12276592,12276601,12276600
12276612,12276608,12276592,12276594,12276601,12276599
12276612,12276595,12276592,12276594,12276601,12276600
12276608,12276595,12276592,12276594,12276601,12276600
